Date,BNM_OPR,MGS_3Y,MGS_5Y,MGS_10Y
2018-04-30,3.25,3.544,3.793,4.042
2018-05-01,3.25,3.561,3.812,4.064
2018-05-02,3.25,3.554,3.804,4.055
2018-05-03,3.25,3.544,3.793,4.042
2018-05-04,3.25,3.556,3.807,4.058
2018-05-07,3.25,3.551,3.801,4.051
2018-05-08,3.25,3.562,3.813,4.065
2018-05-09,3.25,3.542,3.791,4.039
2018-05-10,3.25,3.546,3.796,4.045
2018-05-11,3.25,3.545,3.795,4.044
2018-05-14,3.25,3.532,3.78,4.028
2018-05-15,3.25,3.554,3.804,4.054
2018-05-16,3.25,3.553,3.804,4.054
2018-05-17,3.25,3.55,3.8,4.05
2018-05-18,3.25,3.547,3.797,4.046
2018-05-21,3.25,3.533,3.781,4.029
2018-05-22,3.25,3.545,3.794,4.044
2018-05-23,3.25,3.546,3.795,4.045
2018-05-24,3.25,3.54,3.789,4.038
2018-05-25,3.25,3.548,3.798,4.048
2018-05-28,3.25,3.555,3.805,4.056
2018-05-29,3.25,3.573,3.825,4.078
2018-05-30,3.25,3.552,3.802,4.053
2018-05-31,3.25,3.553,3.803,4.054
2018-06-01,3.25,3.549,3.799,4.049
2018-06-04,3.25,3.527,3.774,4.021
2018-06-05,3.25,3.55,3.8,4.05
2018-06-06,3.25,3.551,3.801,4.051
2018-06-07,3.25,3.58,3.833,4.087
2018-06-08,3.25,3.548,3.797,4.047
2018-06-11,3.25,3.554,3.804,4.055
2018-06-12,3.25,3.55,3.8,4.049
2018-06-13,3.25,3.536,3.784,4.032
2018-06-14,3.25,3.564,3.815,4.067
2018-06-15,3.25,3.559,3.81,4.061
2018-06-18,3.25,3.559,3.811,4.062
2018-06-19,3.25,3.539,3.788,4.036
2018-06-20,3.25,3.567,3.819,4.071
2018-06-21,3.25,3.533,3.781,4.029
2018-06-22,3.25,3.557,3.808,4.059
2018-06-25,3.25,3.576,3.83,4.083
2018-06-26,3.25,3.538,3.787,4.035
2018-06-27,3.25,3.543,3.792,4.042
2018-06-28,3.25,3.551,3.801,4.051
2018-06-29,3.25,3.544,3.793,4.042
2018-07-02,3.25,3.531,3.779,4.027
2018-07-03,3.25,3.551,3.801,4.051
2018-07-04,3.25,3.537,3.786,4.034
2018-07-05,3.25,3.556,3.806,4.057
2018-07-06,3.25,3.539,3.788,4.036
2018-07-09,3.25,3.569,3.821,4.073
2018-07-10,3.25,3.541,3.789,4.038
2018-07-11,3.25,3.546,3.796,4.045
2018-07-12,3.25,3.56,3.811,4.062
2018-07-13,3.25,3.535,3.783,4.032
2018-07-16,3.25,3.553,3.803,4.053
2018-07-17,3.25,3.566,3.818,4.07
2018-07-18,3.25,3.531,3.778,4.026
2018-07-19,3.25,3.552,3.802,4.053
2018-07-20,3.25,3.553,3.804,4.054
2018-07-23,3.25,3.559,3.811,4.062
2018-07-24,3.25,3.535,3.783,4.031
2018-07-25,3.25,3.534,3.782,4.03
2018-07-26,3.25,3.556,3.807,4.058
2018-07-27,3.25,3.554,3.804,4.054
2018-07-30,3.25,3.553,3.803,4.054
2018-07-31,3.25,3.554,3.805,4.055
2018-08-01,3.25,3.542,3.791,4.04
2018-08-02,3.25,3.553,3.803,4.053
2018-08-03,3.25,3.554,3.804,4.054
2018-08-06,3.25,3.541,3.79,4.039
2018-08-07,3.25,3.572,3.825,4.078
2018-08-08,3.25,3.556,3.806,4.057
2018-08-09,3.25,3.536,3.784,4.032
2018-08-10,3.25,3.558,3.809,4.06
2018-08-13,3.25,3.538,3.787,4.035
2018-08-14,3.25,3.559,3.811,4.062
2018-08-15,3.25,3.564,3.816,4.067
2018-08-16,3.25,3.54,3.789,4.038
2018-08-17,3.25,3.562,3.813,4.064
2018-08-20,3.25,3.555,3.806,4.056
2018-08-21,3.25,3.56,3.811,4.062
2018-08-22,3.25,3.573,3.826,4.078
2018-08-23,3.25,3.547,3.797,4.046
2018-08-24,3.25,3.541,3.79,4.039
2018-08-27,3.25,3.539,3.788,4.037
2018-08-28,3.25,3.54,3.789,4.038
2018-08-29,3.25,3.549,3.799,4.049
2018-08-30,3.25,3.554,3.805,4.055
2018-08-31,3.25,3.553,3.804,4.054
2018-09-03,3.25,3.56,3.811,4.062
2018-09-04,3.25,3.55,3.8,4.05
2018-09-05,3.25,3.567,3.82,4.072
2018-09-06,3.25,3.547,3.796,4.046
2018-09-07,3.25,3.583,3.837,4.091
2018-09-10,3.25,3.558,3.808,4.059
2018-09-11,3.25,3.54,3.788,4.037
2018-09-12,3.25,3.537,3.786,4.034
2018-09-13,3.25,3.556,3.807,4.057
2018-09-14,3.25,3.547,3.797,4.047
2018-09-17,3.25,3.559,3.81,4.061
2018-09-18,3.25,3.556,3.806,4.057
2018-09-19,3.25,3.549,3.799,4.049
2018-09-20,3.25,3.54,3.789,4.037
2018-09-21,3.25,3.532,3.78,4.027
2018-09-24,3.25,3.545,3.794,4.043
2018-09-25,3.25,3.56,3.812,4.063
2018-09-26,3.25,3.553,3.803,4.053
2018-09-27,3.25,3.535,3.783,4.031
2018-09-28,3.25,3.552,3.802,4.053
2018-10-01,3.25,3.555,3.805,4.056
2018-10-02,3.25,3.539,3.788,4.037
2018-10-03,3.25,3.552,3.802,4.052
2018-10-04,3.25,3.551,3.801,4.051
2018-10-05,3.25,3.536,3.785,4.033
2018-10-08,3.25,3.554,3.805,4.055
2018-10-09,3.25,3.557,3.808,4.058
2018-10-10,3.25,3.563,3.815,4.066
2018-10-11,3.25,3.563,3.814,4.066
2018-10-12,3.25,3.533,3.781,4.029
2018-10-15,3.25,3.539,3.787,4.036
2018-10-16,3.25,3.556,3.807,4.058
2018-10-17,3.25,3.556,3.807,4.058
2018-10-18,3.25,3.556,3.807,4.058
2018-10-19,3.25,3.596,3.852,4.108
2018-10-22,3.25,3.557,3.808,4.059
2018-10-23,3.25,3.564,3.815,4.067
2018-10-24,3.25,3.561,3.813,4.064
2018-10-25,3.25,3.558,3.809,4.06
2018-10-26,3.25,3.546,3.796,4.045
2018-10-29,3.25,3.559,3.81,4.061
2018-10-30,3.25,3.541,3.79,4.038
2018-10-31,3.25,3.547,3.797,4.046
2018-11-01,3.25,3.544,3.793,4.043
2018-11-02,3.25,3.551,3.801,4.051
2018-11-05,3.25,3.578,3.831,4.085
2018-11-06,3.25,3.528,3.775,4.022
2018-11-07,3.25,3.558,3.809,4.06
2018-11-08,3.25,3.531,3.778,4.026
2018-11-09,3.25,3.544,3.794,4.043
2018-11-12,3.25,3.563,3.815,4.066
2018-11-13,3.25,3.551,3.801,4.051
2018-11-14,3.25,3.537,3.785,4.034
2018-11-15,3.25,3.541,3.79,4.039
2018-11-16,3.25,3.558,3.809,4.06
2018-11-19,3.25,3.541,3.79,4.039
2018-11-20,3.25,3.553,3.803,4.053
2018-11-21,3.25,3.551,3.801,4.051
2018-11-22,3.25,3.542,3.791,4.04
2018-11-23,3.25,3.576,3.829,4.082
2018-11-26,3.25,3.558,3.809,4.06
2018-11-27,3.25,3.526,3.773,4.02
2018-11-28,3.25,3.552,3.803,4.053
2018-11-29,3.25,3.542,3.791,4.04
2018-11-30,3.25,3.56,3.812,4.063
2018-12-03,3.25,3.54,3.789,4.038
2018-12-04,3.25,3.549,3.798,4.048
2018-12-05,3.25,3.556,3.807,4.058
2018-12-06,3.25,3.56,3.812,4.063
2018-12-07,3.25,3.536,3.784,4.032
2018-12-10,3.25,3.546,3.795,4.045
2018-12-11,3.25,3.544,3.794,4.043
2018-12-12,3.25,3.542,3.791,4.04
2018-12-13,3.25,3.571,3.824,4.076
2018-12-14,3.25,3.555,3.805,4.056
2018-12-17,3.25,3.535,3.783,4.031
2018-12-18,3.25,3.561,3.812,4.064
2018-12-19,3.25,3.575,3.829,4.082
2018-12-20,3.25,3.562,3.814,4.065
2018-12-21,3.25,3.532,3.779,4.027
2018-12-24,3.25,3.544,3.793,4.043
2018-12-25,3.25,3.565,3.817,4.069
2018-12-26,3.25,3.542,3.79,4.039
2018-12-27,3.25,3.555,3.806,4.057
2018-12-28,3.25,3.559,3.81,4.062
2018-12-31,3.25,3.539,3.787,4.036
2019-01-01,3.25,3.549,3.799,4.049
2019-01-02,3.25,3.511,3.756,4.001
2019-01-03,3.25,3.538,3.786,4.035
2019-01-04,3.25,3.547,3.797,4.046
2019-01-07,3.25,3.535,3.783,4.031
2019-01-08,3.25,3.57,3.822,4.074
2019-01-09,3.25,3.533,3.781,4.029
2019-01-10,3.25,3.545,3.794,4.043
2019-01-11,3.25,3.552,3.802,4.052
2019-01-14,3.25,3.567,3.819,4.072
2019-01-15,3.25,3.533,3.781,4.028
2019-01-16,3.25,3.564,3.816,4.067
2019-01-17,3.25,3.55,3.8,4.05
2019-01-18,3.25,3.538,3.787,4.035
2019-01-21,3.25,3.556,3.806,4.057
2019-01-22,3.25,3.552,3.803,4.053
2019-01-23,3.25,3.543,3.792,4.041
2019-01-24,3.25,3.551,3.801,4.051
2019-01-25,3.25,3.545,3.795,4.044
2019-01-28,3.25,3.551,3.802,4.052
2019-01-29,3.25,3.558,3.809,4.06
2019-01-30,3.25,3.569,3.821,4.074
2019-01-31,3.25,3.535,3.783,4.031
2019-02-01,3.25,3.576,3.829,4.082
2019-02-04,3.25,3.527,3.774,4.021
2019-02-05,3.25,3.548,3.798,4.048
2019-02-06,3.25,3.557,3.808,4.059
2019-02-07,3.25,3.553,3.804,4.054
2019-02-08,3.25,3.543,3.792,4.041
2019-02-11,3.25,3.548,3.797,4.047
2019-02-12,3.25,3.544,3.793,4.043
2019-02-13,3.25,3.543,3.792,4.041
2019-02-14,3.25,3.56,3.811,4.063
2019-02-15,3.25,3.554,3.805,4.055
2019-02-18,3.25,3.542,3.791,4.04
2019-02-19,3.25,3.561,3.812,4.063
2019-02-20,3.25,3.554,3.804,4.055
2019-02-21,3.25,3.56,3.811,4.062
2019-02-22,3.25,3.558,3.808,4.059
2019-02-25,3.25,3.54,3.789,4.038
2019-02-26,3.25,3.543,3.792,4.042
2019-02-27,3.25,3.559,3.81,4.061
2019-02-28,3.25,3.557,3.808,4.059
2019-03-01,3.25,3.55,3.8,4.05
2019-03-04,3.25,3.551,3.802,4.052
2019-03-05,3.25,3.565,3.817,4.069
2019-03-06,3.25,3.543,3.792,4.041
2019-03-07,3.25,3.557,3.807,4.058
2019-03-08,3.25,3.548,3.797,4.047
2019-03-11,3.25,3.547,3.797,4.047
2019-03-12,3.25,3.563,3.815,4.066
2019-03-13,3.25,3.56,3.811,4.062
2019-03-14,3.25,3.56,3.811,4.062
2019-03-15,3.25,3.566,3.818,4.07
2019-03-18,3.25,3.55,3.8,4.05
2019-03-19,3.25,3.558,3.809,4.06
2019-03-20,3.25,3.546,3.796,4.045
2019-03-21,3.25,3.554,3.804,4.055
2019-03-22,3.25,3.548,3.798,4.048
2019-03-25,3.25,3.551,3.801,4.051
2019-03-26,3.25,3.557,3.808,4.059
2019-03-27,3.25,3.54,3.789,4.038
2019-03-28,3.25,3.575,3.828,4.081
2019-03-29,3.25,3.538,3.786,4.035
2019-04-01,3.25,3.535,3.784,4.032
2019-04-02,3.25,3.564,3.816,4.067
2019-04-03,3.25,3.559,3.811,4.062
2019-04-04,3.25,3.557,3.808,4.059
2019-04-05,3.25,3.558,3.808,4.059
2019-04-08,3.25,3.55,3.8,4.05
2019-04-09,3.25,3.539,3.788,4.037
2019-04-10,3.25,3.551,3.801,4.051
2019-04-11,3.25,3.542,3.791,4.04
2019-04-12,3.25,3.562,3.813,4.065
2019-04-15,3.25,3.548,3.798,4.048
2019-04-16,3.25,3.54,3.789,4.038
2019-04-17,3.25,3.546,3.796,4.045
2019-04-18,3.25,3.555,3.806,4.056
2019-04-19,3.25,3.543,3.792,4.042
2019-04-22,3.25,3.54,3.789,4.038
2019-04-23,3.25,3.553,3.803,4.054
2019-04-24,3.25,3.553,3.803,4.054
2019-04-25,3.25,3.544,3.793,4.042
2019-04-26,3.25,3.544,3.794,4.043
2019-04-29,3.25,3.553,3.803,4.053
2019-04-30,3.25,3.533,3.78,4.028
2019-05-01,3.0,3.247,3.445,3.633
2019-05-02,3.0,3.254,3.453,3.642
2019-05-03,3.0,3.259,3.459,3.649
2019-05-06,3.0,3.265,3.465,3.656
2019-05-07,3.0,3.278,3.48,3.673
2019-05-08,3.0,3.27,3.472,3.663
2019-05-09,3.0,3.258,3.458,3.648
2019-05-10,3.0,3.26,3.46,3.65
2019-05-13,3.0,3.248,3.447,3.635
2019-05-14,3.0,3.26,3.46,3.65
2019-05-15,3.0,3.258,3.457,3.647
2019-05-16,3.0,3.266,3.466,3.657
2019-05-17,3.0,3.253,3.452,3.641
2019-05-20,3.0,3.27,3.471,3.663
2019-05-21,3.0,3.283,3.486,3.679
2019-05-22,3.0,3.265,3.465,3.656
2019-05-23,3.0,3.273,3.473,3.666
2019-05-24,3.0,3.278,3.479,3.672
2019-05-27,3.0,3.267,3.466,3.658
2019-05-28,3.0,3.276,3.476,3.67
2019-05-29,3.0,3.275,3.475,3.669
2019-05-30,3.0,3.279,3.479,3.673
2019-05-31,3.0,3.27,3.469,3.663
2019-06-03,3.0,3.282,3.482,3.678
2019-06-04,3.0,3.29,3.491,3.688
2019-06-05,3.0,3.304,3.507,3.705
2019-06-06,3.0,3.301,3.502,3.701
2019-06-07,3.0,3.318,3.521,3.722
2019-06-10,3.0,3.285,3.484,3.682
2019-06-11,3.0,3.308,3.509,3.71
2019-06-12,3.0,3.302,3.502,3.703
2019-06-13,3.0,3.329,3.532,3.736
2019-06-14,3.0,3.296,3.494,3.695
2019-06-17,3.0,3.298,3.497,3.697
2019-06-18,3.0,3.303,3.502,3.704
2019-06-19,3.0,3.288,3.484,3.685
2019-06-20,3.0,3.309,3.509,3.712
2019-06-21,3.0,3.309,3.508,3.711
2019-06-24,3.0,3.322,3.522,3.728
2019-06-25,3.0,3.327,3.527,3.733
2019-06-26,3.0,3.347,3.55,3.759
2019-06-27,3.0,3.338,3.54,3.748
2019-06-28,3.0,3.322,3.521,3.727
2019-07-01,3.0,3.32,3.518,3.725
2019-07-02,3.0,3.338,3.539,3.748
2019-07-03,3.0,3.318,3.516,3.722
2019-07-04,3.0,3.357,3.56,3.771
2019-07-05,3.0,3.35,3.552,3.763
2019-07-08,3.0,3.332,3.531,3.74
2019-07-09,3.0,3.318,3.515,3.722
2019-07-10,3.0,3.355,3.557,3.769
2019-07-11,3.0,3.338,3.538,3.748
2019-07-12,3.0,3.355,3.556,3.768
2019-07-15,3.0,3.321,3.518,3.726
2019-07-16,3.0,3.333,3.532,3.741
2019-07-17,3.0,3.34,3.54,3.75
2019-07-18,3.0,3.34,3.54,3.75
2019-07-19,3.0,3.334,3.533,3.742
2019-07-22,3.0,3.346,3.547,3.757
2019-07-23,3.0,3.325,3.523,3.731
2019-07-24,3.0,3.335,3.534,3.743
2019-07-25,3.0,3.337,3.537,3.746
2019-07-26,3.0,3.34,3.541,3.75
2019-07-29,3.0,3.341,3.542,3.751
2019-07-30,3.0,3.317,3.516,3.721
2019-07-31,3.0,3.31,3.508,3.713
2019-08-01,3.0,3.342,3.544,3.753
2019-08-02,3.0,3.329,3.529,3.736
2019-08-05,3.0,3.314,3.513,3.717
2019-08-06,3.0,3.339,3.542,3.749
2019-08-07,3.0,3.32,3.52,3.725
2019-08-08,3.0,3.33,3.532,3.738
2019-08-09,3.0,3.314,3.514,3.718
2019-08-12,3.0,3.336,3.539,3.744
2019-08-13,3.0,3.329,3.532,3.737
2019-08-14,3.0,3.303,3.502,3.703
2019-08-15,3.0,3.315,3.516,3.718
2019-08-16,3.0,3.308,3.509,3.71
2019-08-19,3.0,3.314,3.516,3.718
2019-08-20,3.0,3.283,3.482,3.679
2019-08-21,3.0,3.301,3.502,3.701
2019-08-22,3.0,3.302,3.504,3.703
2019-08-23,3.0,3.266,3.463,3.658
2019-08-26,3.0,3.271,3.469,3.663
2019-08-27,3.0,3.258,3.455,3.647
2019-08-28,3.0,3.277,3.476,3.671
2019-08-29,3.0,3.286,3.487,3.683
2019-08-30,3.0,3.294,3.496,3.692
2019-09-02,3.0,3.274,3.474,3.668
2019-09-03,3.0,3.291,3.494,3.689
2019-09-04,3.0,3.253,3.451,3.641
2019-09-05,3.0,3.248,3.445,3.634
2019-09-06,3.0,3.266,3.466,3.657
2019-09-09,3.0,3.27,3.47,3.662
2019-09-10,3.0,3.264,3.463,3.654
2019-09-11,3.0,3.238,3.435,3.623
2019-09-12,3.0,3.261,3.461,3.651
2019-09-13,3.0,3.246,3.444,3.632
2019-09-16,3.0,3.269,3.47,3.661
2019-09-17,3.0,3.265,3.465,3.656
2019-09-18,3.0,3.249,3.447,3.636
2019-09-19,3.0,3.254,3.453,3.642
2019-09-20,3.0,3.247,3.446,3.634
2019-09-23,3.0,3.26,3.46,3.65
2019-09-24,3.0,3.272,3.474,3.666
2019-09-25,3.0,3.25,3.448,3.637
2019-09-26,3.0,3.269,3.469,3.661
2019-09-27,3.0,3.257,3.456,3.646
2019-09-30,3.0,3.255,3.454,3.644
2019-10-01,3.0,3.265,3.465,3.656
2019-10-02,3.0,3.255,3.454,3.644
2019-10-03,3.0,3.262,3.462,3.653
2019-10-04,3.0,3.256,3.455,3.646
2019-10-07,3.0,3.296,3.499,3.695
2019-10-08,3.0,3.275,3.475,3.669
2019-10-09,3.0,3.268,3.467,3.661
2019-10-10,3.0,3.282,3.482,3.677
2019-10-11,3.0,3.28,3.48,3.675
2019-10-14,3.0,3.281,3.481,3.676
2019-10-15,3.0,3.294,3.495,3.692
2019-10-16,3.0,3.298,3.499,3.697
2019-10-17,3.0,3.285,3.484,3.681
2019-10-18,3.0,3.287,3.486,3.684
2019-10-21,3.0,3.293,3.493,3.692
2019-10-22,3.0,3.272,3.468,3.665
2019-10-23,3.0,3.284,3.482,3.68
2019-10-24,3.0,3.321,3.523,3.726
2019-10-25,3.0,3.327,3.53,3.734
2019-10-28,3.0,3.307,3.507,3.709
2019-10-29,3.0,3.319,3.52,3.724
2019-10-30,3.0,3.319,3.519,3.723
2019-10-31,3.0,3.354,3.559,3.768
2019-11-01,3.0,3.333,3.535,3.742
2019-11-04,3.0,3.321,3.52,3.726
2019-11-05,3.0,3.313,3.511,3.716
2019-11-06,3.0,3.307,3.505,3.709
2019-11-07,3.0,3.331,3.531,3.738
2019-11-08,3.0,3.321,3.52,3.726
2019-11-11,3.0,3.315,3.513,3.718
2019-11-12,3.0,3.326,3.525,3.732
2019-11-13,3.0,3.322,3.52,3.727
2019-11-14,3.0,3.356,3.559,3.77
2019-11-15,3.0,3.348,3.549,3.76
2019-11-18,3.0,3.338,3.538,3.747
2019-11-19,3.0,3.356,3.559,3.771
2019-11-20,3.0,3.34,3.54,3.75
2019-11-21,3.0,3.329,3.528,3.737
2019-11-22,3.0,3.358,3.561,3.773
2019-11-25,3.0,3.346,3.547,3.758
2019-11-26,3.0,3.327,3.526,3.734
2019-11-27,3.0,3.337,3.537,3.747
2019-11-28,3.0,3.329,3.527,3.736
2019-11-29,3.0,3.322,3.52,3.727
2019-12-02,3.0,3.349,3.55,3.761
2019-12-03,3.0,3.36,3.562,3.774
2019-12-04,3.0,3.319,3.517,3.723
2019-12-05,3.0,3.341,3.542,3.751
2019-12-06,3.0,3.325,3.524,3.731
2019-12-09,3.0,3.325,3.525,3.732
2019-12-10,3.0,3.322,3.521,3.728
2019-12-11,3.0,3.317,3.516,3.721
2019-12-12,3.0,3.326,3.526,3.733
2019-12-13,3.0,3.313,3.512,3.717
2019-12-16,3.0,3.324,3.525,3.731
2019-12-17,3.0,3.318,3.518,3.723
2019-12-18,3.0,3.314,3.513,3.717
2019-12-19,3.0,3.303,3.502,3.704
2019-12-20,3.0,3.305,3.504,3.706
2019-12-23,3.0,3.318,3.519,3.722
2019-12-24,3.0,3.312,3.513,3.715
2019-12-25,3.0,3.292,3.49,3.69
2019-12-26,3.0,3.302,3.502,3.703
2019-12-27,3.0,3.307,3.508,3.709
2019-12-30,3.0,3.276,3.473,3.67
2019-12-31,3.0,3.3,3.5,3.699
2020-01-01,1.75,2.153,2.457,2.762
2020-01-02,1.75,2.172,2.479,2.787
2020-01-03,1.75,2.16,2.467,2.773
2020-01-06,1.75,2.152,2.458,2.764
2020-01-07,1.75,2.159,2.466,2.774
2020-01-08,1.75,2.183,2.495,2.806
2020-01-09,1.75,2.19,2.503,2.816
2020-01-10,1.75,2.181,2.493,2.805
2020-01-13,1.75,2.204,2.52,2.835
2020-01-14,1.75,2.181,2.494,2.808
2020-01-15,1.75,2.204,2.521,2.838
2020-01-16,1.75,2.194,2.511,2.827
2020-01-17,1.75,2.205,2.524,2.842
2020-01-20,1.75,2.217,2.538,2.858
2020-01-21,1.75,2.21,2.53,2.851
2020-01-22,1.75,2.22,2.541,2.863
2020-01-23,1.75,2.24,2.564,2.889
2020-01-24,1.75,2.224,2.547,2.87
2020-01-27,1.75,2.244,2.57,2.896
2020-01-28,1.75,2.223,2.547,2.871
2020-01-29,1.75,2.245,2.572,2.899
2020-01-30,1.75,2.258,2.587,2.916
2020-01-31,1.75,2.213,2.537,2.86
2020-02-03,1.75,2.234,2.561,2.888
2020-02-04,1.75,2.252,2.581,2.911
2020-02-05,1.75,2.244,2.572,2.901
2020-02-06,1.75,2.251,2.581,2.91
2020-02-07,1.75,2.24,2.568,2.897
2020-02-10,1.75,2.248,2.578,2.907
2020-02-11,1.75,2.245,2.575,2.904
2020-02-12,1.75,2.261,2.592,2.923
2020-02-13,1.75,2.249,2.579,2.908
2020-02-14,1.75,2.249,2.579,2.908
2020-02-17,1.75,2.239,2.567,2.896
2020-02-18,1.75,2.237,2.565,2.893
2020-02-19,1.75,2.236,2.564,2.891
2020-02-20,1.75,2.244,2.573,2.901
2020-02-21,1.75,2.232,2.559,2.886
2020-02-24,1.75,2.239,2.566,2.894
2020-02-25,1.75,2.258,2.588,2.917
2020-02-26,1.75,2.241,2.568,2.896
2020-02-27,1.75,2.224,2.549,2.874
2020-02-28,1.75,2.24,2.567,2.894
2020-03-02,1.75,2.218,2.542,2.866
2020-03-03,1.75,2.196,2.517,2.838
2020-03-04,1.75,2.206,2.528,2.849
2020-03-05,1.75,2.193,2.513,2.833
2020-03-06,1.75,2.209,2.531,2.852
2020-03-09,1.75,2.211,2.533,2.854
2020-03-10,1.75,2.229,2.552,2.876
2020-03-11,1.75,2.21,2.531,2.852
2020-03-12,1.75,2.202,2.521,2.841
2020-03-13,1.75,2.212,2.533,2.854
2020-03-16,1.75,2.174,2.49,2.806
2020-03-17,1.75,2.202,2.521,2.841
2020-03-18,1.75,2.207,2.527,2.847
2020-03-19,1.75,2.179,2.495,2.811
2020-03-20,1.75,2.21,2.53,2.85
2020-03-23,1.75,2.199,2.518,2.837
2020-03-24,1.75,2.19,2.507,2.825
2020-03-25,1.75,2.202,2.521,2.841
2020-03-26,1.75,2.222,2.544,2.865
2020-03-27,1.75,2.197,2.516,2.835
2020-03-30,1.75,2.199,2.518,2.837
2020-03-31,1.75,2.191,2.51,2.828
2020-04-01,1.75,2.188,2.506,2.824
2020-04-02,1.75,2.21,2.531,2.852
2020-04-03,1.75,2.191,2.51,2.829
2020-04-06,1.75,2.204,2.525,2.846
2020-04-07,1.75,2.2,2.521,2.841
2020-04-08,1.75,2.214,2.537,2.859
2020-04-09,1.75,2.215,2.538,2.861
2020-04-10,1.75,2.226,2.551,2.876
2020-04-13,1.75,2.211,2.534,2.858
2020-04-14,1.75,2.217,2.542,2.866
2020-04-15,1.75,2.212,2.536,2.861
2020-04-16,1.75,2.222,2.548,2.874
2020-04-17,1.75,2.235,2.564,2.892
2020-04-20,1.75,2.243,2.574,2.904
2020-04-21,1.75,2.227,2.556,2.884
2020-04-22,1.75,2.252,2.585,2.917
2020-04-23,1.75,2.262,2.596,2.93
2020-04-24,1.75,2.255,2.588,2.922
